bairro,cep,cidade,cnpj,complemento,email_1,email_2,endereco,estado,ExibirAgendamentoOnline,id,local,unidade_id
Marieta 1ª Seção,34973376,da Rocha do Amparo,54.201.689/0001-41,Área de Caldeira,thiagocostela@hotmail.com,ycavalcanti@yahoo.com.br,"Pátio Nascimento, 622",Sergipe,True,6b635a34-68e8-4f9a-9921-eef35ba6d92b,Fernandes do Amparo,3
Pedreira Padro Lopes,94516472,Fernandes,50.863.279/0001-05,Favela Daniel Sales,qda-rosa@cunha.com,luccada-paz@yahoo.com.br,"Residencial da Rocha, 8",Mato Grosso do Sul,True,558bc9a4-a7e9-4ac2-97c0-bb4983ec26a5,Dias Grande,4
Guarani,75763992,Aragão do Galho,01.259.376/0001-88,Feira de da Conceição,bryan80@hotmail.com,cardosobruno@correia.br,"Vale Helena Barros, 37",Paraná,True,ea26d691-400f-41b2-8cc9-7d02f6b1c600,da Rocha,9
Vila Paris,55892-359,Mendes,39.512.408/0001-88,Campo Noah Moura,wdias@pinto.br,uramos@uol.com.br,Estrada Araújo,Piauí,True,0c669f95-4270-43bc-8841-189060a1035d,Azevedo Alegre,5
Barão Homem De Melo 3ª Seção,20194-983,Costa,23.160.587/0001-00,Vila de Vieira,juancavalcanti@yahoo.com.br,elisafarias@uol.com.br,"Rua Teixeira, 3",Bahia,True,4a6f9720-2c0e-4a78-b0e5-99d39ac8cce1,da Rosa,10
Dom Bosco,85990861,Ribeiro,58.916.073/0001-08,Conjunto Pires,mda-mota@nogueira.com,anthony70@gmail.com,"Recanto Leandro Alves, 638",Pernambuco,True,b1c24fb5-3205-4e7d-97f2-2fc0d56cbdc3,Oliveira,1
Guarani,21727-872,da Cruz de da Cruz,82.695.714/0001-26,Ladeira de Nascimento,pireslais@bol.com.br,sramos@ig.com.br,Rua de Caldeira,Piauí,True,75ebf027-ab12-402b-832d-31213c4af5f4,Teixeira,8
Vila Ecológica,58719634,Lopes,18.509.346/0001-85,Praça Lopes,augusto09@costa.org,da-rochaandre@ig.com.br,"Passarela Pedro Miguel Caldeira, 41",Roraima,False,5ce5b488-2573-4be4-92fe-ba9f80d9fced,Freitas do Galho,5
São Cristóvão,79529-475,Nogueira,26.358.701/0001-90,Rodovia de da Mota,castroenzo-gabriel@ig.com.br,kevin81@mendes.com,"Setor de Gomes, 26",Maranhão,False,991f7f47-df16-4b1c-9adb-aad1a9b1dedd,Nunes do Norte,3
Vila Canto Do Sabiá,52914980,Cunha,16.932.745/0001-29,Passarela Silva,lfogaca@yahoo.com.br,costamariane@santos.net,"Feira Luiz Otávio Gonçalves, 37",Espírito Santo,True,9f9a26ca-2316-4259-a978-9b0bc7e78d74,Pinto,7
Saudade,05168-768,Aragão,43.287.601/0001-30,Campo Nicole Rodrigues,calebe95@gmail.com,nataliapires@costela.br,"Setor Cunha, 2",São Paulo,True,29f27a5e-439f-40af-b842-dce03fac0b96,Barros das Pedras,3
Vila Pinho,48839-589,Campos,96.325.481/0001-84,Quadra Viana,catarina05@gmail.com,emanuella86@yahoo.com.br,"Campo Clara da Luz, 904",Paraíba,True,e77ff694-43c8-4b38-8e6e-2439431a595a,Alves do Sul,5
Vila Coqueiral,47041943,da Mota de Minas,79.634.120/0001-09,Quadra de Melo,rezendeana-clara@gmail.com,cmartins@santos.com,"Parque de Moura, 39",Paraná,False,7884c92f-7ea6-477e-a92b-153ecaf931f9,Costela do Galho,1
Nossa Senhora Do Rosário,62970-232,Ferreira do Oeste,46.081.925/0001-05,Residencial Ryan Melo,uviana@bol.com.br,barroslorena@ig.com.br,"Sítio Catarina Pires, 64",Maranhão,True,642e518d-02b0-4f92-bc90-8618353dae24,Cardoso Paulista,8
Antonio Ribeiro De Abreu 1ª Seção,28221212,Porto,01.354.962/0001-01,Colônia Ribeiro,luiza67@hotmail.com,tmelo@gmail.com,"Esplanada de Melo, 92",Amazonas,True,a023268b-3220-47c1-a608-4d5111465f17,Viana,2
Alto Dos Pinheiros,79405241,Aragão do Sul,91.806.725/0001-27,Pátio de Rezende,luiz-felipegoncalves@rodrigues.br,agatha04@ig.com.br,"Rodovia Vicente da Rosa, 3",Paraíba,False,92958706-67bb-49e4-ad99-5c9cb1a7feda,Cardoso do Campo,4
Mineirão,82686-537,Pinto,98.351.647/0001-62,Passarela Martins,qsouza@viana.com,nogueiralucas-gabriel@sales.org,"Fazenda Benjamin Gonçalves, 25",Rio Grande do Norte,False,830d7ca2-8e2a-4f4d-b6e9-5fe8a45e885d,da Conceição do Sul,3
Dom Bosco,71945-527,Carvalho,29.817.405/0001-07,Alameda Bianca Mendes,wcaldeira@uol.com.br,wribeiro@bol.com.br,"Colônia de Melo, 207",Sergipe,True,008843d4-78b3-4140-ba24-4512dfeb42b4,Gomes,4
Grota,85748567,Pinto do Amparo,14.592.638/0001-73,Parque Pedro Cardoso,fmartins@da.net,aliceda-rosa@ig.com.br,"Jardim de Souza, 707",Bahia,False,37156064-39a9-4643-8343-8632aa11bf35,da Cruz de Ribeiro,7
Vila Puc,11702893,Rodrigues,20.546.198/0001-10,Distrito Fogaça,ryan04@ig.com.br,vicenteteixeira@carvalho.br,"Jardim de Moura, 96",Ceará,False,b8a391b9-2965-4d8d-ae65-fcaf795dfd43,Gonçalves do Galho,7
Vila Pinho,46852-879,Nascimento das Pedras,05.846.937/0001-04,Setor de Pereira,stellanascimento@gmail.com,cunhajoao@cunha.com,Praça Luiza Rodrigues,Acre,True,a6add58c-9f68-4c04-89d2-5d9ccf36daf8,Cunha,3
Vila Califórnia,41459381,da Rocha,54.783.602/0001-91,Sítio das Neves,souzaalicia@moraes.br,barrosrenan@ig.com.br,"Morro Maria Vitória Carvalho, 35",Paraná,False,1d221ab3-ba50-4812-b54e-0e28441bd388,Caldeira,2
Minaslandia,93372344,Alves de da Mota,17.690.425/0001-72,Rodovia Nathan Lima,rodriguesbianca@melo.org,beatriz48@teixeira.br,"Condomínio de Ferreira, 7",Amapá,True,1eb201b6-ec14-4e85-a19b-815287e17b43,Peixoto do Amparo,6
Caiçara - Adelaide,21365381,Cavalcanti,45.831.702/0001-55,Praia Pedro Miguel Peixoto,bcaldeira@moreira.br,joaopinto@bol.com.br,"Trevo Alice Lopes, 4",Mato Grosso do Sul,True,b7c9186b-6233-4568-a57f-71bf43b586bb,Rodrigues,10
Vila Nova,71490228,Rezende,61.593.840/0001-08,Chácara Alexandre Fernandes,hda-costa@ig.com.br,fariasmarina@porto.br,"Lago Helena Nunes, 80",Acre,False,3e38bbd2-c908-44b3-be22-94626c2f5768,Freitas,8
Álvaro Camargos,11122-973,da Luz das Pedras,57.024.689/0001-01,Setor Ramos,moraesana-vitoria@bol.com.br,knogueira@yahoo.com.br,"Núcleo Pedro Henrique Nascimento, 91",Goiás,False,47cee102-5465-4750-9cd1-87864161e9fb,Souza,9
Vila Real 1ª Seção,10504-667,da Mata,73.541.269/0001-59,Rodovia Castro,msales@fogaca.br,ucostela@bol.com.br,"Praça Porto, 49",Pernambuco,True,e15e33e1-2446-447b-9fd5-85b5172fd0fb,Carvalho das Pedras,9
Marieta 3ª Seção,18209-819,da Mota,98.635.204/0001-01,Morro Ramos,alexiaazevedo@da.br,ramosvitor-gabriel@das.com,"Alameda de da Rosa, 9",Sergipe,True,479b1ea5-f760-4f9c-943f-051ce44a9c69,Campos,9
Santa Cruz,07551520,Farias do Galho,93.527.801/0001-90,Alameda de Moura,lorenzo35@yahoo.com.br,gustavo74@da.com,"Residencial das Neves, 65",São Paulo,True,018c5a64-f743-4743-adcc-de205c621c66,Gonçalves,7
Boa Vista,60115-214,Costa Alegre,71.840.563/0001-36,Fazenda de Pinto,afarias@da.org,da-conceicaofrancisco@uol.com.br,"Colônia de Aragão, 6",Amazonas,False,f7dbc3c6-bde0-4b25-8a20-aaba76313c12,da Paz,8
Vila Calafate,41861-309,Lopes,01.796.523/0001-59,Trevo de da Mata,portojoaquim@yahoo.com.br,isilveira@yahoo.com.br,"Avenida Lopes, 37",Mato Grosso,False,5a5026df-dab6-4d67-bbad-baa958cfe6cb,Fernandes dos Dourados,6
Pompéia,16164876,das Neves,15.293.864/0001-16,Loteamento Mariana Novaes,rodriguesjoao@uol.com.br,sabrina50@ramos.br,"Estrada Moura, 87",Amapá,False,b8da84a4-609a-4dd9-bfd8-67f0838eac97,Nunes da Serra,5
Santa Rita,12666395,Carvalho das Pedras,70.532.968/0001-44,Praça de Novaes,nunesmaria-clara@moreira.br,fernandoramos@bol.com.br,Viaduto da Rosa,Pará,True,1dcf51ce-921a-4113-ace0-a0297d8795ea,Santos,4
Vila Nova Dos Milionarios,02607207,Barros do Galho,01.246.758/0001-77,Ladeira Stella Novaes,matheus74@da.br,luiz-henriquelopes@ig.com.br,"Setor Rodrigues, 64",Ceará,True,ad9abfa3-0c3c-4f4a-a413-15bb0552ecb4,Duarte da Mata,4
Canadá,66154-650,Azevedo,29.580.173/0001-08,Conjunto Almeida,costacaue@yahoo.com.br,fteixeira@hotmail.com,"Campo Duarte, 93",Amapá,False,e7b6abdf-1bcb-46e2-a530-9a9761e8338e,Silva da Prata,8
Vila Copasa,60223-032,Teixeira Alegre,58.246.379/0001-02,Residencial Mendes,ana-julia56@hotmail.com,orocha@yahoo.com.br,"Jardim Vicente Cavalcanti, 114",Pernambuco,False,30a0d080-ff72-43f6-9106-ee5f166c90ee,Cardoso,8
Vila Nova Cachoeirinha 3ª Seção,17099-470,Cardoso do Norte,46.087.392/0001-79,Via de Teixeira,carvalholuiz-miguel@da.br,zcavalcanti@da.com,"Estação da Cunha, 74",Rio Grande do Norte,False,b008cf52-95a5-4089-bdf5-6fdc5dc40443,Gonçalves do Norte,4
São Gabriel,27045146,Rocha,06.384.259/0001-60,Morro Gustavo Henrique Almeida,vitor86@yahoo.com.br,dgoncalves@alves.br,"Pátio Farias, 4",Rio Grande do Sul,False,f4df04a4-a27b-427c-a013-711f36fb098f,Almeida da Mata,8
Nossa Senhora Da Aparecida,76961203,Viana,08.324.971/0001-07,Conjunto de da Mota,bruna19@gomes.net,souzapedro-lucas@uol.com.br,"Lago Pereira, 74",Rio Grande do Sul,False,a0560cd5-cfe8-4df1-b61e-286e7bfdddb7,Costela das Pedras,10
Vila São Geraldo,92653-954,das Neves de Goiás,57.463.812/0001-90,Feira de Souza,moreiramaria-alice@jesus.net,vinicius40@uol.com.br,"Condomínio de Peixoto, 2",Rio Grande do Sul,False,e198fd04-8f62-4dc2-8274-1220bc1fbbe8,Mendes de Rodrigues,4
Vila Nova Gameleira 3ª Seção,21496-158,Dias do Norte,15.260.947/0001-09,Lagoa Barbosa,oda-cunha@bol.com.br,hferreira@ig.com.br,"Loteamento de Fogaça, 90",Acre,False,9d7d410e-28cc-498b-acc5-9f43d42c7004,da Rocha Alegre,3
Mala E Cuia,33205-274,Ribeiro Alegre,92.436.510/0001-24,Trecho de Moreira,gabriellyda-luz@lopes.com,barrosisis@melo.net,"Rodovia Moraes, 24",Goiás,True,0503d8ab-f89f-425c-8fcd-aa289e593c0e,Dias do Galho,9
Barreiro,11995-392,Santos,53.742.860/0001-67,Morro de Moreira,ybarros@nunes.com,aragaomarcos-vinicius@carvalho.com,"Praça Marcos Vinicius Pires, 1",Piauí,False,46fb9795-f131-4764-aa7b-ab782cfc73aa,Ribeiro Verde,4
